timestamp,value
2021-01-08 00:00:00,211
2021-01-08 00:00:03,135
2021-01-08 00:00:04,118
2021-01-08 00:00:11,139
2021-01-08 00:00:12,79
2021-01-08 00:00:20,198
2021-01-08 00:00:22,69
2021-01-08 00:00:23,71
2021-01-08 00:00:24,241
2021-01-08 00:00:31,127
2021-01-08 00:00:33,180
2021-01-08 00:00:34,87
2021-01-08 00:00:35,236
2021-01-08 00:00:39,108
2021-01-08 00:00:41,216
2021-01-08 00:00:42,116
2021-01-08 00:00:44,220
2021-01-08 00:00:48,240
2021-01-08 00:00:49,134
2021-01-08 00:00:53,69
2021-01-08 00:00:54,156
2021-01-08 00:00:57,187
2021-01-08 00:00:58,191
2021-01-08 00:01:01,170
2021-01-08 00:01:02,144
2021-01-08 00:01:03,171
2021-01-08 00:01:05,86
2021-01-08 00:01:10,55
2021-01-08 00:01:16,148
2021-01-08 00:01:17,213
2021-01-08 00:01:19,195
2021-01-08 00:01:24,199
2021-01-08 00:01:26,111
2021-01-08 00:01:27,61
2021-01-08 00:01:28,56
2021-01-08 00:01:29,109
2021-01-08 00:01:30,127
2021-01-08 00:01:31,207
2021-01-08 00:01:32,241
2021-01-08 00:01:35,135
2021-01-08 00:01:36,152
2021-01-08 00:01:37,153
2021-01-08 00:01:41,216
2021-01-08 00:01:42,73
2021-01-08 00:01:43,148
2021-01-08 00:01:44,172
2021-01-08 00:01:45,151
2021-01-08 00:01:46,164
2021-01-08 00:01:48,66
2021-01-08 00:01:49,179
2021-01-08 00:01:50,248
2021-01-08 00:01:51,145
2021-01-08 00:01:52,182
2021-01-08 00:01:53,128
2021-01-08 00:01:54,68
2021-01-08 00:01:55,67
2021-01-08 00:01:57,156
2021-01-08 00:01:58,127
2021-01-08 00:01:59,122
2021-01-08 00:02:01,138
2021-01-08 00:02:02,176
2021-01-08 00:02:04,152
2021-01-08 00:02:07,235
2021-01-08 00:02:08,150
2021-01-08 00:02:09,184
2021-01-08 00:02:14,205
2021-01-08 00:02:15,203
2021-01-08 00:02:17,88
2021-01-08 00:02:19,86
2021-01-08 00:02:20,104
2021-01-08 00:02:22,151
2021-01-08 00:02:23,137
2021-01-08 00:02:24,199
2021-01-08 00:02:25,217
2021-01-08 00:02:27,93
2021-01-08 00:02:29,234
2021-01-08 00:02:31,240
2021-01-08 00:02:34,174
2021-01-08 00:02:38,136
2021-01-08 00:02:41,91
2021-01-08 00:02:42,240
2021-01-08 00:02:44,210
2021-01-08 00:02:51,50
2021-01-08 00:02:52,149
2021-01-08 00:02:55,234
2021-01-08 00:02:56,85
2021-01-08 00:02:59,109
2021-01-08 00:03:00,75
2021-01-08 00:03:02,203
2021-01-08 00:03:03,172
2021-01-08 00:03:06,244
2021-01-08 00:03:10,169
2021-01-08 00:03:11,136
2021-01-08 00:03:13,170
2021-01-08 00:03:15,179
2021-01-08 00:03:16,189
2021-01-08 00:03:17,223
2021-01-08 00:03:18,62
2021-01-08 00:03:19,59
2021-01-08 00:03:21,160
2021-01-08 00:03:24,196
2021-01-08 00:03:26,57
2021-01-08 00:03:30,183
2021-01-08 00:03:31,243
2021-01-08 00:03:33,85
2021-01-08 00:03:34,143
2021-01-08 00:03:38,84
2021-01-08 00:03:39,163
2021-01-08 00:03:42,68
2021-01-08 00:03:45,155
2021-01-08 00:03:46,164
2021-01-08 00:03:53,132
2021-01-08 00:03:57,98
2021-01-08 00:03:58,129
2021-01-08 00:03:59,215
2021-01-08 00:04:01,224
2021-01-08 00:04:10,163
2021-01-08 00:04:12,53
2021-01-08 00:04:13,53
2021-01-08 00:04:16,232
2021-01-08 00:04:20,156
2021-01-08 00:04:22,158
2021-01-08 00:04:23,230
2021-01-08 00:04:24,164
2021-01-08 00:04:25,107
2021-01-08 00:04:26,54
2021-01-08 00:04:27,112
2021-01-08 00:04:28,136
2021-01-08 00:04:30,176
2021-01-08 00:04:31,126
2021-01-08 00:04:32,153
2021-01-08 00:04:34,94
2021-01-08 00:04:37,142
2021-01-08 00:04:38,58
2021-01-08 00:04:40,143
2021-01-08 00:04:42,74
2021-01-08 00:04:44,222
2021-01-08 00:04:45,237
2021-01-08 00:04:46,98
2021-01-08 00:04:48,91
2021-01-08 00:04:51,57
2021-01-08 00:04:55,208
2021-01-08 00:04:57,167
