timestamp,value
2021-01-01 00:00:00,86
2021-01-01 00:00:04,87
2021-01-01 00:00:06,86
2021-01-01 00:00:07,98
2021-01-01 00:00:11,103
2021-01-01 00:00:12,100
2021-01-01 00:00:21,91
2021-01-01 00:00:23,81
2021-01-01 00:00:24,100
2021-01-01 00:00:27,101
2021-01-01 00:00:31,89
2021-01-01 00:00:32,95
2021-01-01 00:00:33,94
2021-01-01 00:00:34,94
2021-01-01 00:00:35,98
2021-01-01 00:00:38,99
2021-01-01 00:00:39,104
2021-01-01 00:00:40,82
2021-01-01 00:00:41,84
2021-01-01 00:00:44,100
2021-01-01 00:00:47,97
2021-01-01 00:00:49,104
2021-01-01 00:00:52,88
2021-01-01 00:00:53,100
2021-01-01 00:00:54,81
2021-01-01 00:01:01,82
2021-01-01 00:01:02,93
2021-01-01 00:01:09,85
2021-01-01 00:01:10,101
2021-01-01 00:01:11,89
2021-01-01 00:01:12,83
2021-01-01 00:01:15,91
2021-01-01 00:01:18,83
2021-01-01 00:01:20,95
2021-01-01 00:01:23,93
2021-01-01 00:01:25,104
2021-01-01 00:01:26,87
2021-01-01 00:01:27,100
2021-01-01 00:01:28,95
2021-01-01 00:01:35,92
2021-01-01 00:01:37,94
2021-01-01 00:01:38,92
2021-01-01 00:01:41,86
2021-01-01 00:01:42,88
2021-01-01 00:01:43,103
2021-01-01 00:01:46,87
2021-01-01 00:01:47,103
2021-01-01 00:01:48,90
2021-01-01 00:01:49,98
2021-01-01 00:01:50,96
2021-01-01 00:01:54,80
2021-01-01 00:01:55,84
2021-01-01 00:01:56,89
2021-01-01 00:01:59,86
2021-01-01 00:02:00,88
2021-01-01 00:02:04,80
2021-01-01 00:02:07,102
2021-01-01 00:02:08,103
2021-01-01 00:02:10,82
2021-01-01 00:02:11,91
2021-01-01 00:02:15,80
2021-01-01 00:02:17,84
2021-01-01 00:02:19,93
2021-01-01 00:02:20,82
2021-01-01 00:02:22,84
2021-01-01 00:02:24,93
2021-01-01 00:02:27,94
2021-01-01 00:02:29,89
2021-01-01 00:02:30,92
2021-01-01 00:02:31,98
2021-01-01 00:02:32,86
2021-01-01 00:02:36,84
2021-01-01 00:02:38,86
2021-01-01 00:02:41,90
2021-01-01 00:02:47,81
2021-01-01 00:02:50,104
2021-01-01 00:02:53,91
2021-01-01 00:02:55,99
2021-01-01 00:02:56,90
2021-01-01 00:02:59,86
2021-01-01 00:03:00,80
2021-01-01 00:03:02,104
2021-01-01 00:03:06,88
2021-01-01 00:03:10,87
2021-01-01 00:03:11,88
2021-01-01 00:03:14,98
2021-01-01 00:03:15,89
2021-01-01 00:03:16,91
2021-01-01 00:03:17,103
2021-01-01 00:03:18,94
2021-01-01 00:03:19,101
2021-01-01 00:03:24,96
2021-01-01 00:03:30,96
2021-01-01 00:03:32,96
2021-01-01 00:03:34,96
2021-01-01 00:03:36,81
2021-01-01 00:03:37,81
2021-01-01 00:03:39,102
2021-01-01 00:03:41,80
2021-01-01 00:03:42,80
2021-01-01 00:03:43,98
2021-01-01 00:03:44,81
2021-01-01 00:03:45,100
2021-01-01 00:03:46,91
2021-01-01 00:03:51,90
2021-01-01 00:03:53,96
2021-01-01 00:03:56,84
2021-01-01 00:03:57,99
2021-01-01 00:03:59,85
2021-01-01 00:04:02,95
2021-01-01 00:04:05,88
2021-01-01 00:04:08,82
2021-01-01 00:04:09,99
2021-01-01 00:04:10,83
2021-01-01 00:04:11,98
2021-01-01 00:04:12,82
2021-01-01 00:04:13,98
2021-01-01 00:04:16,99
